REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho,Prod_Projetada_Contrafactual,Choque_Estrutural_Percentual
AUS,C13_14,2016,1977.71706526145,40.906,48.34784787711949,44.22832771099547,9.314211907451075
AUS,C13_14,2017,2009.81699877999,50.914,39.47474169737184,41.534501780434766,-4.959154425281187
AUS,C14,2015,676.277846280315,23.486,28.79493512221387,31.846002947753732,-9.580693158087739
AUS,C14,2016,690.846372111878,19.383,35.64187030448734,29.539734653407322,20.65738139721629
AUS,C14,2017,669.272061813743,27.676,24.18239853352157,27.233466359060913,-11.203376703179813
AUS,C15,2015,450.184956843402,1.189,378.6248585730883,331.74529287882615,14.131192423997852
AUS,C15,2016,409.282934738549,3.444,118.839411944991,212.59854333352996,-44.10149285051651
AUS,C15,2017,450.183001220008,3.208,140.33135948254613,93.45179378826288,50.16443643714319
AUS,C16,2015,4299.0,63.518,67.68160206555622,69.06109161941276,-1.9974916722410696
AUS,C16,2016,4233.0,70.945,59.66593840298824,56.90695929527283,4.848227952929118
AUS,C16,2017,4673.0,107.739,43.373337417276936,44.75282697113289,-3.0824634938610096
AUS,C16T18,2015,9784.0,159.424,61.37093536732236,60.470474484256556,1.4890918100869843
AUS,C16T18,2016,9695.0,176.559,54.91082301100482,56.71174477713703,-3.1755710800459025
AUS,C16T18,2017,10014.0,185.949,53.85347595308391,52.95301507001841,1.7004902966806457
AUS,C17,2015,2607.0,27.851,93.60525654375068,89.32217992792175,4.795087423174338
AUS,C17,2016,2557.0,30.352,84.24486030574592,92.8110135374045,-9.22967318766137
AUS,C17,2017,2640.0,26.247,100.58292376271574,96.29984714688726,4.4476463283430245
AUS,C18,2015,2878.0,68.055,42.289324810814776,39.443882873500115,7.21389916515125
AUS,C18,2016,2905.0,75.263,38.59798307269176,44.28886694731955,-12.849468200206937
AUS,C18,2017,2701.0,51.963,51.9792929584512,49.13385102113716,5.791204797055172
AUS,C19,2015,2441.0,12.152,200.87228439763004,167.18620994556113,20.148835518813257
AUS,C19,2016,2836.0,23.668,119.82423525435188,187.1963841584802,-35.99009094486097
AUS,C19,2017,3260.0,13.533,240.89263282346857,207.2065583713993,16.25724335987957
AUS,C19T23,2015,23001.0,231.638,99.29717921929908,100.92167896658248,-1.609663814472706
AUS,C19T23,2016,22902.0,228.945,100.03275895957545,96.78375946501001,3.3569676488337308
AUS,C19T23,2017,24474.0,268.882,91.0213402161543,92.64583996343754,-1.7534513669737795
AUS,C20,2015,6105.21783307413,55.506,109.99203388956384,112.91446844327584,-2.58818430800134
AUS,C20,2016,5316.44085527072,49.79,106.77728168850612,100.9324125810781,5.79087426720617
AUS,C20,2017,5334.33336969565,62.007,86.02792216516926,88.95035671888036,-3.285466929544978
AUS,C20_21,2015,9581.0,91.057,105.21980737340348,106.0829474450984,-0.8136463894365509
AUS,C20_21,2016,8659.0,93.92,92.19548551959114,90.46920537619735,1.9081411583260932
AUS,C20_21,2017,9118.0,123.229,73.99232323560202,74.8554633072963,-1.153075585346297
AUS,C21,2015,3475.78216692587,35.551,97.7689000851135,96.42150506441976,1.397400942656457
AUS,C21,2016,3342.55914472928,44.13,75.74346577677952,78.4382558181751,-3.435555792625311
AUS,C21,2017,3783.66663030435,61.222,61.80240159263581,60.4550065719377,2.22875671859335
AUS,C22,2015,4762.0,62.042,76.7544566583927,86.75072437613835,-11.522978960271624
AUS,C22,2016,4766.0,45.941,103.74175573017564,83.74922029468325,23.871906347481065
AUS,C22,2017,4799.0,67.829,70.75144849548128,80.74771621322725,-12.379629030435025
AUS,C22_23,2015,10979.0,128.429,85.48692273551923,90.12568284356803,-5.146990249272609
AUS,C22_23,2016,11407.0,111.357,102.43630844940148,93.1587882333024,9.958824488855411
AUS,C22_23,2017,12096.0,132.12,91.55313351498636,96.19189362303587,-4.822402318253804
AUS,C23,2015,6217.0,66.387,93.64785274225376,92.96260251757485,0.7371246136846921
AUS,C23,2016,6641.0,65.417,101.51795404864178,102.88845449800283,-1.332025498922862
AUS,C23,2017,7297.0,64.291,113.49955670311552,112.81430647843445,0.6074142952889217
AUS,C24,2015,5736.0,109.845,52.2190359142428,51.14795847399728,2.094076620457952
AUS,C24,2016,5901.0,107.242,55.02508345610861,57.16723833659853,-3.74717223154456
AUS,C24,2017,6366.0,99.07,64.25759563944686,63.1865181992016,1.6951043842431401
AUS,C24_25,2015,15868.0,252.98,62.72432603367855,63.072252957528235,-0.5516323066562578
AUS,C24_25,2016,16304.0,261.111,62.44087763441602,61.745023786716956,1.1269796414731692
AUS,C24_25,2017,16903.0,281.389,60.06986769205619,60.41779461590568,-0.5758682951957472
AUS,C25,2015,10132.0,143.135,70.78632060642052,71.89270290620334,-1.5389354622350138
AUS,C25,2016,10403.0,153.869,67.60945999519072,65.39669539562601,3.3836030799083927
AUS,C25,2017,10537.0,182.319,57.79430558526539,58.90068788504868,-1.8783860418447373
AUS,C26,2015,5536.43397324026,84.832,65.26350873774354,72.00626824867595,-9.364128533430005
AUS,C26,2016,5093.26791044776,57.366,88.78548112902695,75.29996210716399,17.909064818214503
