REF_AREA,ACTIVITY,TIME_PERIOD,B1G,SAL,Produtividade_Trabalho
AUS,C24,2015,5736.0,109.845,52.219035914242795
AUS,C24,2016,5901.0,107.242,55.02508345610861
AUS,C24,2017,6366.0,99.07,64.25759563944686
AUS,C24_25,2015,15868.0,252.98,62.72432603367855
AUS,C24_25,2016,16304.0,261.111,62.44087763441602
AUS,C24_25,2017,16903.0,281.389,60.06986769205619
AUS,C25,2015,10132.0,143.135,70.78632060642052
AUS,C25,2016,10403.0,153.869,67.60945999519072
AUS,C25,2017,10537.0,182.319,57.79430558526539
AUS,C26,2015,5536.43397324026,84.832,65.26350873774354
AUS,C26,2016,5093.26791044776,57.366,88.78548112902695
AUS,C26,2017,5143.87752808988,71.591,71.85089645472029
AUS,C26T28,2015,12047.0,241.987,49.783666064705955
AUS,C26T28,2016,12037.0,193.295,62.27269199927572
AUS,C26T28,2017,12523.0,269.107,46.535392984946505
AUS,C26_27,2015,7647.88772542176,124.289,61.53310208805091
AUS,C26_27,2016,7228.18855721393,91.297,79.1722461550098
AUS,C26_27,2017,7423.34494382022,124.812,59.47621177306846
AUS,C27,2015,2111.4537521815,39.457,53.51277979018932
AUS,C27,2016,2134.92064676617,33.931,62.919473247654665
AUS,C27,2017,2279.46741573034,53.221,42.83022520678566
AUS,C28,2015,4399.11227457824,117.698,37.37627040882802
AUS,C28,2016,4808.81144278607,101.998,47.14613465740573
AUS,C28,2017,5099.65505617978,144.295,35.34186947697273
AUS,C29,2015,3128.52354152368,71.158,43.965872305625226
AUS,C29,2016,3890.26982129373,90.681,42.900605653816456
AUS,C29,2017,3888.34429169157,65.295,59.55041414643648
AUS,C29_30,2015,7263.0,130.646,55.592976440151254
AUS,C29_30,2016,7914.0,144.496,54.7696822057358
AUS,C29_30,2017,8340.0,132.246,63.06428927907082
AUS,C30,2015,4134.47645847632,59.487,69.50218465339182
AUS,C30,2016,4023.73017870627,53.815,74.76967720349847
AUS,C30,2017,4451.65570830843,66.951,66.49125044149349
AUS,C31T33,2015,2966.0,238.505,12.43579799165636
AUS,C31T33,2016,3008.0,240.265,12.519509708030716
AUS,C31T33,2017,3149.0,232.085,13.568304715944588
AUS,C31_32,2015,1110.26535814428,95.897,11.577686039649624
AUS,C31_32,2016,1061.94112060779,126.65,8.384848958608686
AUS,C31_32,2017,1099.25171878465,112.705,9.753353611504814
AUS,C33,2015,1855.73464185572,142.609,13.012745632153088
AUS,C33,2016,1946.05887939221,113.615,17.128538303852572
AUS,C33,2017,2049.74828121535,119.379,17.170090897187528
AUS,D,2015,27456.0,143.023,191.96912384721338
AUS,D,2016,30374.0,141.461,214.71642360792018
AUS,D,2017,31895.0,153.669,207.5565013112599
AUS,D,2018,32864.0,81.284,404.3108114758132
AUS,D,2019,30930.0,79.626,388.44096149498904
AUS,D,2020,29797.0,86.476,344.569591562977
AUS,D,2021,28632.0,79.035,362.2698804327197
AUS,D,2022,31156.0,85.599,363.97621467540506
AUS,D,2023,35176.0,82.541,426.1639669982191
AUS,D,2024,36716.0,109.529,335.2171570999461
AUS,D_E,2015,44187.0,249.015,177.4471417384495
AUS,D_E,2016,47550.0,269.546,176.40773745483148
AUS,D_E,2017,50581.0,290.257,174.26280847662588
AUS,D_E,2018,52072.0,151.102,344.61489589813505
AUS,D_E,2019,50955.0,155.643,327.3838206665253
AUS,D_E,2020,50283.0,149.227,336.956448899998
AUS,D_E,2021,48840.0,142.784,342.0551322277006
AUS,D_E,2022,52261.0,162.979,320.6609440480062
AUS,D_E,2023,58288.0,157.491,370.1036884647376
AUS,D_E,2024,59612.0,194.725,306.1342919501862
AUS,E,2015,16731.0,105.992,157.8515359649785
AUS,E,2016,17176.0,128.085,134.09845024788225
AUS,E,2017,18686.0,136.588,136.80557589246493
AUS,E,2018,19208.0,69.818,275.1152997794265
AUS,E,2019,20025.0,76.017,263.4279174395201
AUS,E,2020,20486.0,62.751,326.4649168937547
AUS,E,2021,20208.0,63.749,316.99320773659196
AUS,E,2022,21105.0,77.38,272.7448953217886
AUS,E,2023,23112.0,74.95,308.36557705136755
AUS,E,2024,23780.0,85.196,279.1210854969717
AUS,E36,2015,12845.2589210621,47.669,269.46776565613084
AUS,E36,2016,12953.1823488209,63.271,204.72542474152297
AUS,E36,2017,13927.3348389525,62.184,223.96974847151196
AUS,E37T39,2015,3885.74107893788,58.323,66.62450626575931
AUS,E37T39,2016,4222.81765117909,64.814,65.15286282561006
AUS,E37T39,2017,4758.66516104749,74.403,63.95797428930943
AUS,ENERGYP,2015,69648.0,162.83507410458364,427.7211183339246
AUS,ENERGYP,2016,96188.0,157.9450358921982,608.9966642930832
AUS,ENERGYP,2017,114996.0,160.14584220585218,718.0704688678937
AUS,F,2015,132207.0,960.89,137.58806939399932
AUS,F,2016,134353.0,940.516,142.8503077034309
AUS,F,2017,142288.0,968.527,146.91175362173692
AUS,F,2018,144572.0,1004.55,143.91717684535365
AUS,F,2019,142334.0,968.236,147.0034165224181
AUS,F,2020,145549.0,955.753,152.2872541336517
AUS,F,2021,153938.0,1003.059,153.46853973694468
AUS,F,2022,171822.0,1068.005,160.88126928244716
AUS,F,2023,189143.0,1042.786,181.38237375645625
AUS,F,2024,198741.0,1095.959,181.33981289446047
AUS,G,2015,140491.0,2641.785,53.18033072335561
AUS,G,2016,144437.0,2672.306,54.049573664093856
AUS,G,2017,146632.0,2631.394,55.724076288081534
AUS,G,2018,150545.0,1676.614,89.79109085335087
AUS,G,2019,156535.0,1685.081,92.89464423371933
AUS,G,2020,172071.0,1646.03,104.53697684732356
AUS,G,2021,178921.0,1678.633,106.58732432878419
