DATAFLOW,FREQ,REF_AREA,ACTIVITY,MEASURE,PRICE_BASE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,BASE_PER,UNIT_MULT,DECIMALS,EST_METHOD,OBS_STATUS
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C,B1G,V,XDC,2016,7101718.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,H51,B1G,V,XDC,2016,192186.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C30,B1G,V,XDC,2016,49846.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,H52,B1G,V,XDC,2016,644215.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M71,B1G,V,XDC,2016,348550.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,OTQ,B1G,V,XDC,2016,5376724.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,L68A,B1G,V,XDC,2016,1856985.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,H53,B1G,V,XDC,2016,163266.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,O,B1G,V,XDC,2016,2559295.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,BTE,B1G,V,XDC,2016,8141427.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,F,B1G,V,XDC,2016,1099441.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,N78,B1G,V,XDC,2016,268577.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,K64,B1G,V,XDC,2016,800004.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,J61,B1G,V,XDC,2016,460850.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C26T28,B1G,V,XDC,2016,1537910.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,J62_63,B1G,V,XDC,2016,763791.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,G,B1G,V,XDC,2016,3143059.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C26_27,B1G,V,XDC,2016,897723.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,GTI,B1G,V,XDC,2016,5679393.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,E36,B1G,V,XDC,2016,121964.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C23,B1G,V,XDC,2016,232817.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C26,B1G,V,XDC,2016,580066.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,K66,B1G,V,XDC,2016,166333.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,_T,B1G,V,XDC,2016,30819577.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,E37T39,B1G,V,XDC,2016,180602.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,H50,B1G,V,XDC,2016,4110.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,P,B1G,V,XDC,2016,1457742.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C13T15,B1G,V,XDC,2016,147840.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C33,B1G,V,XDC,2016,146346.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,LTN,B1G,V,XDC,2016,5624529.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M69T71,B1G,V,XDC,2016,1122913.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,M73,B1G,V,XDC,2016,120713.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,J,B1G,V,XDC,2016,1498235.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,G46,B1G,V,XDC,2016,1515024.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C25,B1G,V,XDC,2016,483592.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,D,B1G,V,XDC,2016,692607.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C16,B1G,V,XDC,2016,80504.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,A03,B1G,V,XDC,2016,4609.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,RTU,B1G,V,XDC,2016,872823.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,D_E,B1G,V,XDC,2016,995173.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,N,B1G,V,XDC,2016,1086801.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C24,B1G,V,XDC,2016,192028.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C20,B1G,V,XDC,2016,397151.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C17,B1G,V,XDC,2016,130003.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,HUN,C24_25,B1G,V,XDC,2016,675620.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,M74_75,B1G,V,XDC,2016,9114.184,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,GTN,B1G,V,XDC,2016,919593.907,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,S96,B1G,V,XDC,2016,8624.478,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,G47,B1G,V,XDC,2016,58571.246,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C12,B1G,V,XDC,2016,576.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C14,B1G,V,XDC,2016,745.0,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,P,B1G,V,XDC,2016,116899.278,,6,1,,A
OECD.STI.PIE:DSD_STAN@DF_STAN_2025(1.0),A,DNK,C16T18,B1G,V,XDC,2016,9812.81,,6,1,,A
